Iteration   Eta     F      F_Prime F_Prime_Prime
    00      0.00  0.0000   0.0000   0.332060

    01      0.20  0.0066   0.0664   0.331987

    02      0.40  0.0266   0.1328   0.331473

    03      0.60  0.0597   0.1989   0.330082

    04      0.80  0.1061   0.2647   0.327392

    05      1.00  0.1656   0.3298   0.323010

    06      1.20  0.2380   0.3938   0.316592

    07      1.40  0.3230   0.4563   0.307868

    08      1.60  0.4203   0.5168   0.296666

    09      1.80  0.5295   0.5748   0.282933

    10      2.00  0.6500   0.6298   0.266753

    11      2.20  0.7812   0.6813   0.248352

    12      2.40  0.9223   0.7290   0.228093

    13      2.60  1.0725   0.7725   0.206456

    14      2.80  1.2310   0.8115   0.184007

    15      3.00  1.3968   0.8460   0.161361

    16      3.20  1.5691   0.8761   0.139129

    17      3.40  1.7470   0.9018   0.117877

    18      3.60  1.9295   0.9233   0.098087

    19      3.80  2.1160   0.9411   0.080126

    20      4.00  2.3058   0.9555   0.064235

    21      4.20  2.4981   0.9670   0.050521

    22      4.40  2.6924   0.9759   0.038974

    23      4.60  2.8883   0.9827   0.029485

    24      4.80  3.0853   0.9878   0.021873

    25      5.00  3.2833   0.9915   0.015908

    26      5.20  3.4819   0.9942   0.011343

    27      5.40  3.6809   0.9962   0.007929

    28      5.60  3.8803   0.9975   0.005434

    29      5.80  4.0799   0.9984   0.003650

    30      6.00  4.2796   0.9990   0.002403

    31      6.20  4.4795   0.9994   0.001551

    32      6.40  4.6794   0.9996   0.000982

    33      6.60  4.8793   0.9998   0.000609

    34      6.80  5.0793   0.9999   0.000370

    35      7.00  5.2793   0.9999   0.000221

    36      7.20  5.4793   1.0000   0.000129

    37      7.40  5.6793   1.0000   0.000074

    38      7.60  5.8793   1.0000   0.000041

    39      7.80  6.0793   1.0000   0.000023

    40      8.00  6.2793   1.0000   0.000012

    41      8.20  6.4793   1.0000   0.000007

    42      8.40  6.6793   1.0000   0.000003

    43      8.60  6.8793   1.0000   0.000002

    44      8.80  7.0793   1.0000   0.000001

    45      9.00  7.2793   1.0000   0.000000

    46      9.20  7.4793   1.0000   0.000000

    47      9.40  7.6793   1.0000   0.000000

    48      9.60  7.8793   1.0000   0.000000

    49      9.80  8.0793   1.0000   0.000000

